tourism
ID;Name;Type;Longitude;Latitude
14728353888;;artwork;5.7170533;50.8377568
14728389981;;artwork;5.7134511;50.8370933
14922770119;D'Artagnan;artwork;5.6821631;50.8465164
14922774776;;artwork;5.6826205;50.8474936
14922797686;;artwork;5.6826249;50.8474954
14922809982;;artwork;5.680728;50.8472817
14932485377;kanon;attraction;5.6894042;50.8440623
14944783693;Knooppunten Zuid-Limburg;information;5.683731;50.8413963
15001750222;Hotel Sansa;hotel;5.7034687;50.8498612
15006029993;Bureau Europa;museum;5.6902773;50.8567335
15040281222;M-building;guest_house;5.6697662;50.8465263
15144674563;The Social Hub;hotel;5.6894254;50.8564516
15304862921;;artwork;5.6518895;50.861942
15323749068;;artwork;5.6492809;50.8639471
15331434979;;artwork;5.6523144;50.8616033
15331434980;;artwork;5.6531124;50.860982
15339720757;Tongeren 2000;artwork;5.6515247;50.8425143
15354211066;Fons Olterdissen;artwork;5.6887786;50.8449521
15354218984;;artwork;5.6844269;50.8487583
15356267597;;artwork;5.6887289;50.8442552
15720751821;Waterpoortje;attraction;5.6979286;50.8473502
15896986255;Sint Amor;artwork;5.6905005;50.8489536
16238087191;Mural zanglijster;artwork;5.6907438;50.8577347
16374722111;De Kleine Weerd;information;5.7023235;50.8360674
16412823080;Lage Fronten;information;5.683889;50.8556786
16412823081;Lage Fronten;information;5.6835224;50.8558902
16422516727;Old Hickorymonument;artwork;5.7009536;50.8403392
16629971652;De Krul;viewpoint;5.6884361;50.8583214
16635694063;;information;5.6699415;50.8283308
16783025312;;artwork;5.6943544;50.8473107
16783892733;Pension Jekerzicht;guest_house;5.6812238;50.8476716
16783892750;Bosnimf;artwork;5.6842661;50.8441587
16783917905;;viewpoint;5.6872863;50.8483426
16787661378;;information;5.6771589;50.8256432
16789074031;;artwork;5.6878871;50.8412058
16789074037;;information;5.6853873;50.8355229
16789074038;;information;5.6853765;50.8355323
16789272062;;information;5.6938302;50.8515068
16789365599;'t Bassin Maastricht;information;5.690816;50.8556698
16789365609;;information;5.6883548;50.8590316
16793472633;Leeuwenmolen;information;5.6917723;50.8445584
16793472637;Helpoort;information;5.6945061;50.8455022
16793472638;Papiermolen 'De Ancker';information;5.6946774;50.8454042
16793472639;De Helpoort;information;5.6945027;50.8456595
16793472640;Jekertoren;information;5.6947989;50.8455286
16793472641;Onze Lieve Vrouwewal;information;5.6946;50.8468155
16795700069;;information;5.6890276;50.8440355
16797538183;;artwork;5.6917796;50.8444894
16797538184;Rondeel Haet Ende Nyt;information;5.6936645;50.8443476
16799165667;Stadsommuring;information;5.6906786;50.8457308
16799165673;Stadsommuring en waterpoort;information;5.6878509;50.8459141
16799165674;Huize in den Nieuwenhof;information;5.6889459;50.844237
16799165675;Nieuwenhofpoortje;information;5.6890686;50.8440169
16799338859;Onze Lievevrouwebasiliek;information;5.6932166;50.8474531
17141241585;Jezuïetenberg;attraction;5.664878;50.822495
17236472956;;artwork;5.654379;50.8630256
17645866109;Merrett;hotel;5.6906286;50.8520898
17669749819;Designhotel Maastricht;hotel;5.7027209;50.8497548
17689058570;;viewpoint;5.6820946;50.8336063
17905056017;;artwork;5.6941363;50.8557868
17905056018;;artwork;5.6949539;50.8555622
17999713261;;information;5.6724078;50.8286939
18014715487;Rederij Stiphout;attraction;5.6941096;50.8510351
18014763275;;artwork;5.6941598;50.828983
18014808765;Ruïnetoren van Lichtenberg;information;5.6945859;50.8226579
18014839292;;information;5.6935564;50.8243014
18014839294;Activiteiten Zuid-Limburg;information;5.6933473;50.8229493
18014839303;Van lege badkuip to natuurgebied;information;5.6925747;50.8227376
18014839304;Verhalen van vroeger en de geur van vlaai;information;5.6939714;50.8224484
18015812712;;information;5.6908486;50.8264531
18017492521;Hoeve Lichtenberg;information;5.6868703;50.8266025
18017492522;Zweven boven de groeve;information;5.6865391;50.8266121
18017492523;70 miljoen jaar in 1 maand;information;5.6863838;50.8266489
18017492537;Tikdreis door de groeve;information;5.6864801;50.8264073
18017492576;Kiekoet;artwork;5.6834162;50.8306906
18017492579;Zachtjes zweeft de uil voorbij;information;5.6834361;50.8306713
18017512292;Schrale rijdom;information;5.6845524;50.8334574
18018171694;;viewpoint;5.683955;50.8364655
18018215267;;artwork;5.6955009;50.8439098
18018333602;;artwork;5.6941526;50.8462181
18018333603;;artwork;5.692525;50.8458916
18018333604;Huivende kinder;artwork;5.6915803;50.8469629
18018399872;;artwork;5.6930031;50.847271
18018405921;S. Joseph ora pro nobis;artwork;5.6934152;50.8476818
18018544827;;artwork;5.6923192;50.8479098
18018544844;;artwork;5.6921675;50.8481818
18019019748;;artwork;5.6929061;50.8478042
18019019749;;artwork;5.6937531;50.8482237
18019019750;;artwork;5.6941645;50.8479842
18019019779;;artwork;5.6951476;50.8468401
18019058057;;artwork;5.6953864;50.8481467
18019058059;Pons Mosae - Maasbrug;information;5.6953617;50.8481644
18019228897;;artwork;5.6886888;50.8487024
18019228898;;artwork;5.6883383;50.8485703
18019228899;;artwork;5.6883658;50.8485959
18019228900;;artwork;5.6884357;50.8485895
18019228901;;artwork;5.6883891;50.8485704
18019228902;;artwork;5.6883222;50.8485416
18019228953;;artwork;5.6864383;50.8495098
18019229026;;artwork;5.6869692;50.8489963
18019270140;;attraction;5.6868889;50.8485612
18019270155;Monulphus on Gondulphus;artwork;5.6867874;50.8484815
18022847885;;artwork;5.6843555;50.854263
18022887396;;artwork;5.6937683;50.8557492
18022887397;Snor;artwork;5.6938616;50.855779
18023052206;;artwork;5.693935;50.8558025
18023052207;;artwork;5.6939944;50.8558045
18023052208;;artwork;5.6942483;50.8558189
18023052210;;artwork;5.6943796;50.8558541
18023052230;;artwork;5.6945924;50.855963
18026386813;;attraction;5.6947674;50.8458048
18026386814;;attraction;5.6947573;50.8459409
18026386815;;attraction;5.6947401;50.8460753
18026386816;;attraction;5.6947216;50.8462104
18026386817;;attraction;5.6947039;50.8463446
19064511489;Rozemarijn;guest_house;5.7298304;50.8514379
19437373181;Heilig Hartbeeld;artwork;5.6628668;50.8395119
19441741724;;artwork;5.6882574;50.8530302
19441741725;;artwork;5.6882867;50.852821
19442572476;Sculptuur Henri Hermans;artwork;5.6911635;50.8435926
19442572477;Gedenkteken Franse Vluchtelingen;artwork;5.6908873;50.844189
19449379676;Jacob en de Engel;artwork;5.7237664;50.8478534
19451962638;Graanvrouwe van Limmel;artwork;5.7058334;50.8672
19455466469;Heilig Hartbeeld;artwork;5.6889686;50.876671
19609476574;Engel van Maastricht;artwork;5.7114226;50.8482935
19609540978;Klein meisje en wezentje;artwork;5.7180876;50.8534658
19783826433;Limburg verrijst uit zee;information;5.6860849;50.8263633
19783826436;;viewpoint;5.6852706;50.8301717
19783826445;;viewpoint;5.6958492;50.825441
19819770484;;information;5.7054357;50.8498573
19860742657;;artwork;5.7008761;50.849559
19864093949;;artwork;5.6876268;50.847662
19864161225;;artwork;5.6876813;50.8474204
19865972488;;artwork;5.6855183;50.8439614
19917126690;;information;5.7291627;50.8472767
19918582721;;information;5.7075698;50.8465838
19918582723;;information;5.7070899;50.8476016
19918582724;;information;5.7066544;50.8463207
110056819328;;information;5.6872999;50.8170013
110152562517;Bakker & Bed;apartment;5.692549;50.8463635
110707902602;Galerie en Kunstuitleen Maastricht;gallery;5.6902747;50.8531551
110708906591;Hotel Monastère;hotel;5.6902154;50.853739
110840197784;Bisschopsmolen;information;5.6927919;50.8462803
110878390876;;information;5.6622241;50.8206703
